1.1.
въздрържал се,0.74
за,17.830002

1.2.
въздрържал се,0.74
за,17.830002

2
въздържал се,1.09
за,17.48

3
въздържал се,0.36
за,17.59
против,0.62

4.1.
въздържал се,1.13
за,16.96
против,0.48

4.2.
въздържал се,1.49
за,16.709997
против,0.37

4.3.
въздържал се,1.61
за,16.589998
против,0.37

5.1.
alphapro,9.419998
axion,5.2800007
fmg,3.4999995
mg management,0.37

5.2.
въздържал се,0.99
за,17.22
против,0.36

5.3.
въздържал се,1.64
за,15.129998
против,1.8000001

6.1.
въздържал се,2.2
за,15.529998
против,0.84000003

6.2.
въздържал се,1.26
за,15.559998
против,1.75

6.3.
въздържал се,1.43
за,15.139998
против,2

6.4.
въздържал се,2.46
за,11.359998
против,4.7499995

6.5.
въздържал се,0.74
за,15.999998
против,1.83

6.6.
въздържал се,1.44
за,13.949998
против,3.18

6.7.
въздържал се,1.83
за,14.909998
против,1.83

6.8.
въздържал се,1.8100001
за,12.449997
против,4.3099995

6.9.
въздържал се,4.33
за,7.1
против,7.1399984

6.10.
въздържал се,1.9899999
за,12.109999
против,4.47

6.11.
въздържал се,2.3400002
за,10.519999
против,5.709999

6.12.
въздържал се,2.1
за,10.999998
против,5.47

6.13.
въздържал се,2.1399999
за,13.3899975
против,3.04

7.1.
въздържал се,0.37
за,17.810001
против,0.39

7.2.
въздържал се,1.46
за,14.749997
против,2.3600001

7.3.
въздържал се,3.7599998
за,13.609998
против,1.2

7.4.
въздържал се,2.31
за,15.109997
против,1.15

8.1.
въздържал се,1.6
за,16.349998
против,0.62

8.2.
въздържал се,1.37
за,14.769999
против,2.4299998

8.3.
въздържал се,3.92
за,3.2899995
против,11.359997

